x,Z,T00,T01
5.0,1.438239145834519,2.068531840610807,-0.46996009241103304
5.045045045045045,1.4070091468928319,1.9796747394400944,-0.6564696424176336
5.09009009009009,1.374480562738148,1.889196817344976,-0.9132927411508058
5.135135135135135,1.3406448477940114,1.797328607916628,-1.2624342795473453
5.18018018018018,1.3054908920358175,1.7043064691884744,-1.3352665846327556
5.225225225225225,1.2690117675853883,1.6103908662701913,-0.8261136596612548
5.27027027027027,1.231197392256914,1.515847018700225,-1.370552955990939
5.315315315315315,1.1920398575332194,1.420959021947818,-0.7506259972925794
5.36036036036036,1.1515301110130631,1.3260215965697575,-1.5256438397455507
5.405405405405405,1.109660492703293,1.2313464090665147,-1.1192364023297805
5.45045045045045,1.0664219680919593,1.137255814029128,-1.363304489342349
5.495495495495495,1.0218044300529947,1.0440842932759253,-0.5621813911688771
5.54054054054054,0.9758013848748298,0.9521883427236357,-1.3398909287652703
5.585585585585585,0.9284048425205351,0.8619355516155797,-0.9575810806419681
5.63063063063063,0.879605892447321,0.773706526028048,-1.1764677176706442
5.675675675675675,0.8293969090777328,0.6878992327876969,-0.8699413900217157
5.7207207207207205,0.7777689324249268,0.6049245122454104,-0.653957532495791
5.7657657657657655,0.7247132681410074,0.5252093210196198,-0.8543006338527053
5.8108108108108105,0.6702243705595816,0.4492007068919874,-0.8817924524133898
5.8558558558558556,0.614292952361721,0.3773558313212796,-1.2304629078155918
5.900900900900901,0.5569106645926751,0.3101494883370551,-0.8906166644592711
5.945945945945946,0.4980706647376983,0.24807438707225266,-0.5885823873240683
5.990990990990991,0.43776459545916196,0.19163784103752374,-0.41573705280996226
6.036036036036036,0.37598519775944433,0.14136486893420847,-0.5424867223610983
6.081081081081081,0.31272511287989274,0.09779699622574166,-0.40115535313740236
6.126126126126126,0.24797494685571905,0.06149157426809669,-0.34154937315481587
6.171171171171171,0.1817299905737142,0.03302578947392225,-0.21020394072935236
6.216216216216216,0.1139814530196044,0.012991771632460285,-0.17002136977153445
6.261261261261261,0.04472121546506752,0.0019999871126729946,-0.06627101870885142
6.306306306306306,-0.026056238752715823,0.0006789275779385298,0.05917646129626871
6.351351351351351,-0.09835833762083233,0.00967436257953364,0.20953450495487957
6.396396396396396,-0.17219507279451854,0.02965114309470954,0.3905795811828646
6.441441441441441,-0.24756967889033227,0.06129074590586223,0.31839669160425743
6.486486486486486,-0.3244943247632592,0.10529656680356352,0.5535160163246652
6.531531531531531,-0.40297174306528255,0.1623862257090721,0.7177335742341163
6.576576576576576,-0.4830087877042024,0.23329748899948327,0.9117099280291091
6.621621621621621,-0.5646149648379525,0.3187900585189623,1.1956763828757602
6.666666666666666,-0.6477960143611324,0.4196396762221685,1.6841545252444217
6.711711711711711,-0.7325613990755566,0.5366462034155369,0.70946894558233
6.756756756756756,-0.8189113167912319,0.6706157447687493,2.092269473566898
6.801801801801801,-0.9068575178077797,0.8223905576044874,1.9594444497331263
6.846846846846847,-0.9964078256224813,0.9928285549617212,2.8505747522177343
6.891891891891892,-1.0875675120798318,1.1828030933315152,2.601452338371663
6.936936936936937,-1.180339060299706,1.3932002972691928,2.4905318968616976
6.981981981981982,-1.2747369375633302,1.6249542599883375,2.7507753980940115
7.027027027027026,-1.370761724240669,1.8789877046432522,3.071022031586811
7.072072072072071,-1.468420925592216,2.1562600147171005,4.126074545784795
7.117117117117116,-1.567723735134271,2.45775770970335,4.051888547944901
7.162162162162162,-1.6686731660481442,2.7844701350891374,3.806695793690695
7.207207207207207,-1.771279783471391,3.1374320713344575,3.296660601287634
7.252252252252252,-1.8755444493620739,3.517666981532885,4.255613602488737
7.297297297297297,-1.9814781782132203,3.926255770735182,4.9565118550668545
7.342342342342342,-2.0890849723941516,4.364276021883073,5.799505243005552
7.387387387387387,-2.1983713767218616,4.832836709989973,4.471821051782148
7.4324324324324325,-2.3093428059327255,5.333064195313233,4.621794319644139
7.4774774774774775,-2.4220085963617106,5.866125640850024,6.83117493187283
7.5225225225225225,-2.53637132851312,6.433179516103411,7.984755301098943
7.5675675675675675,-2.652439130278152,7.035433339830719,5.126822757602932
7.612612612612613,-2.770217732016834,7.674106282780492,5.358052767723867
7.657657657657658,-2.889712923864713,8.350440782350748,8.412725479867802
7.702702702702703,-3.010928089668776,9.065687961156463,8.675791722598706
7.747747747747748,-3.133874729264478,9.821170818722507,7.23444635985001
7.792792792792793,-3.2585565030042396,10.618190483271219,12.74875119535268
7.837837837837838,-3.3849761828638205,11.45806375855532,9.99402611404769
7.882882882882883,-3.5131407799644716,12.342158139849376,16.76460347504616
7.927927927927928,-3.643056908996457,13.271863642186819,13.198835138792084
7.972972972972973,-3.7747321746293143,14.248602990181752,6.737748564295346
8.018018018018019,-3.9081747797946567,15.273830109423013,3.1125131660124405
8.063063063063062,-4.043382097371268,16.348938785342472,14.817124197252626
8.108108108108109,-4.180368523950506,17.47548099603613,13.845464398322596
8.153153153153152,-4.319130281487382,18.654886388461275,8.560556833763156
8.198198198198199,-4.459676293429877,19.888712642180444,10.467550734764872
8.243243243243242,-4.602020697677164,21.17859450184901,14.90285519784937
8.288288288288289,-4.746162057096524,22.52605427222271,29.756046581182588
8.333333333333332,-4.892093722788956,23.932580992551106,11.401448822196933
8.378378378378379,-5.039849204615242,25.40008000526089,17.84659333704684
8.423423423423422,-5.1894170157225386,26.930048963070618,33.221285792090114
8.468468468468469,-5.340790361568864,28.524041686226877,30.39004507329371
8.513513513513512,-5.494006296286933,30.18410518364047,24.498410696719493
8.558558558558559,-5.649037978961231,31.91163008774639,39.75844144050225
8.603603603603602,-5.805910975490447,33.708602255320436,26.474022798900187
8.64864864864865,-5.964630234410893,35.57681383324854,11.013331251440894
8.693693693693694,-6.125187734671521,37.51792478497045,43.163463231866345
8.73873873873874,-6.28759201650988,39.533813366078775,10.380645986737656
8.783783783783784,-6.451852569518073,41.626401578796965,34.86584154172337
8.82882882882883,-6.617991721058537,43.79781441999934,72.02591291673468
8.873873873873874,-6.785980044937116,46.04952517028474,55.2444125862643
8.91891891891892,-6.955849338356354,48.38384001791253,53.85114435141047
8.963963963963964,-7.1276032210875995,50.802727677258325,18.28947240393049
9.00900900900901,-7.3012250796203455,53.30788766327712,44.93495219670908
9.054054054054053,-7.476733567948896,55.901544846093834,52.644925573366265
9.0990990990991,-7.654146022950507,58.58595134064907,26.838667864380763
9.144144144144143,-7.833461407580552,61.363117624053885,3.6496148628923333
9.18918918918919,-8.014654639370088,64.23468898837648,45.443805281121335
9.234234234234233,-8.197773756334115,67.20349456004034,10.311094841007893
9.27927927927928,-8.382801337282293,70.27135826034181,-3.5108184504710622
9.324324324324325,-8.569744371823939,73.44051859840808,32.68429273298733
9.36936936936937,-8.758598545997017,76.71304848994107,-13.768221440470755
9.414414414414415,-8.949402445078686,80.09180412398037,-22.88859198102115
9.45945945945946,-9.142120581393206,83.57836872473325,101.61002289492177
9.504504504504505,-9.336784750577495,87.17554947861646,61.28728670606298
9.54954954954955,-9.533398869512133,90.88569400521523,73.10161852303641
9.594594594594595,-9.731940599607594,94.7106678342906,17.39190401935143
9.63963963963964,-9.932446930319687,98.65350202361697,37.03929533088546
9.684684684684685,-10.134902459772242,102.71624786909744,27.792639368594937
9.72972972972973,-10.339313630058035,106.90140634070386,27.93822325810627
9.774774774774775,-10.545699163696892,111.21177085119731,88.60738391522061
9.81981981981982,-10.754055339185493,115.64970623826402,13.390513519091416
9.864864864864865,-10.964388841351713,120.21782266435797,105.63004081226724
9.90990990990991,-11.17668772486907,124.91834849923896,36.4448243174275
9.954954954954955,-11.390988597539073,129.75462122926515,52.8964911096931
